PID,CID,UID,TYPE,1,2,3,4,5
Abomination,ABOMINATION,abomination,science,false,true,true,true,false
Agent Venom,AGENTVENOM,agentvenom,skill,false,true,true,true,true
Angela,ANGELA,angela,cosmic,false,false,true,true,true
Ant-Man,ANTMAN,antman,science,false,true,true,true,true
Archangel,ARCHANGEL,archangel,mutant,false,false,true,true,true
Beast,BEAST,beast,mutant,false,false,true,true,true
Black Bolt,BLACKBOLT,blackbolt,cosmic,false,true,true,true,false
Black Panther (Classic),BLACKPANTHER,blackpanther,skill,true,true,true,true,true
Black Panther (Theatrical),BLACKPANTHERCIVILWAR,blackpanthercivilwar,skill,false,false,true,true,true
Black Widow,BLACKWIDOW,blackwidow,skill,false,true,true,true,false
CARNAGE,CARNAGE,carnage,cosmic,false,true,true,true,true
Cable,CABLE,cable,mutant,false,false,true,true,true
Captain America (WWII),CAPTAINAMERICAWWII,captainamericawwii,science,false,true,true,true,false
Captain America,CAPTAINAMERICA,captainamerica,science,false,true,true,true,true
Captain Marvel,CAPTAINMARVEL,captainmarvel,cosmic,false,false,true,true,true
Civil Warrior,CIVILWARRIOR,civilwarrior,tech,false,true,true,true,true
Colossus,COLOSSUS,colossus,mutant,true,true,true,true,true
Crossbones,CROSSBONES,crossbones,skill,false,false,true,true,true
Cyclops (90S),CYCLOPS90S,cyclops90s,mutant,false,false,true,true,true
Cyclops,CYCLOPS,cyclops,mutant,false,true,true,true,true
Daredevil (*Netflix*),DAREDEVILNETFLIX,daredevilnetflix,skill,false,true,true,true,true
Daredevil (Classic),DAREDEVIL,daredevil,skill,false,false,true,true,false
Deadpool (Classic),DEADPOOL,deadpool,mutant,false,true,true,true,false
Deadpool (X-Force),DEADPOOLXFORCE,deadpoolxforce,mutant,false,true,true,true,false
Dormammu,DORMAMMU,dormammu,mystic,false,false,true,true,true
Dr. Strange (Classic),DRSTRANGE,drstrange,mystic,false,true,true,true,false
Dr. Strange (Marvel Now),DRSTRANGEMARVELNOW,drstrangemarvelnow,mystic,false,false,true,true,true
Dr. Voodoo,DRVOODOO,brothervoodoo,mystic,false,false,true,true,true
Drax,DRAX,drax,cosmic,false,true,true,true,true
Electro,ELECTRO,electro,science,false,true,true,true,false
Elektra,ELEKTRA,elektra,skill,false,false,true,true,false
Falcon,FALCON,falcon,skill,false,false,true,true,true
Gambit,GAMBIT,gambit,mutant,false,false,true,true,true
Gamora,GAMORA,gamora,cosmic,true,true,true,true,false
Ghostrider,GHOSTRIDER,ghostrider,mystic,false,false,true,true,true
Groot,GROOT,groot,cosmic,false,true,true,true,true
Guillotine,GUILLOTINE,guillotine,mystic,false,true,true,true,true
Gwen-pool,GWENPOOL,gwenpool,skill,false,false,true,true,true
Hawkeye,HAWKEYE,hawkeye,skill,true,true,true,true,true
Hood,HOOD,hood,mystic,false,false,true,true,true
Howard the Duck,HOWARDTHEDUCK,howardtheduck,tech,false,false,true,true,true
Hulk,HULK,hulk,science,true,true,true,true,true
Hulkbuster,HULKBUSTER,hulkbuster,tech,false,true,true,true,true
Hyperion,HYPERION,hyperion,cosmic,false,false,true,true,true
Iceman,ICEMAN,iceman,mutant,false,false,true,true,true
Iron Fist (Immortal),IRONFISTWHITE,ironfistwhite,mystic,false,false,true,true,true
Iron Fist,IRONFIST,ironfist,mystic,false,true,true,true,true
Iron Man,IRONMAN,ironman,tech,true,true,true,true,true
Iron Patriot,IRONPATRIOT,ironpatriot,tech,false,false,true,true,true
Joe Fixit,JOEFIXIT,joefixit,science,false,false,true,true,false
Juggernaut,JUGGERNAUT,juggernaut,mystic,true,true,true,true,true
Kang,KANG,kang,tech,false,false,false,true,false
Karnak,KARNAK,karnak,skill,false,false,true,true,true
King Groot,GROOTKING,grootking,cosmic,false,false,true,true,true
Loki,LOKI,loki,mystic,false,false,true,true,true
Luke Cage,LUKECAGE,lukecage,science,false,true,true,true,true
Maestro,MAESTRO,maestro,universal,false,false,false,false,true
Magik,MAGIK,magik,mystic,false,true,true,true,true
Magneto (Classic),MAGNETO,magneto,mutant,false,true,true,true,true
Magneto (Marvel Now),MAGNETOMARVELNOW,magnetomarvelnow,mutant,false,true,true,true,false
Moon Knight,MOONKNIGHT,moonknight,skill,false,true,true,true,true
Mordo,KARLMORDO,karlmordo,mystic,false,false,true,true,true
Ms. Marvel (Danvers),MSMARVEL,msmarvel,cosmic,false,false,true,true,false
Ms. Marvel (Khan),KAMALAKHAN,kamalakhan,cosmic,false,false,true,true,true
Nebula,NEBULA,nebula,tech,false,false,true,true,true
Nightcrawler,NIGHTCRAWLER,nightcrawler,mutant,false,false,true,true,true
Old Man Logan,WOLVERINEOLDMAN,wolverineoldman,mutant,false,true,true,true,true
PUNISHER2099,PUNISHER2099,punisher2099,tech,false,false,true,true,true
Phoenix,PHOENIX,phoenix,cosmic,false,false,true,true,true
Psylocke (X-Force),PSYLOCKEXFORCE,psylockexforce,mutant,false,false,true,true,true
Punisher,PUNISHER,punisher,skill,false,true,true,true,false
Quake,QUAKE,quake,science,false,true,true,true,true
Red Hulk,REDHULK,redhulk,science,false,false,true,true,true
Rhino,RHINO,rhino,science,false,true,true,true,true
Rocket Raccoon,ROCKET,rocket,tech,false,true,true,true,true
Rogue,ROGUE,rogue,mutant,false,false,true,true,true
Ronan,RONAN,ronan,cosmic,false,true,true,true,true
Scarlet Witch (Classic),SCARLETWITCH,scarletwitch,mystic,true,true,true,true,false
Scarlet Witch (Ultimate),SCARLETWITCHULTIMATE,scarletwitchultimate,mystic,false,false,true,true,true
She-Hulk,SHEHULK,shehulk,science,false,false,true,true,true
Spider-Gwen,SPIDERGWEN,spidergwen,science,false,true,true,true,true
Spider-Man (Classic),SPIDERMAN,spiderman,science,true,true,true,true,true
Spider-Man (Morales),SPIDERMANMORALES,spidermanmorales,science,false,true,true,true,true
Spider-Man (Symbiote),SPIDERMANBLACK,spidermanblack,cosmic,false,true,true,true,true
Star-Lord,STARLORD,starlord,tech,false,true,true,true,true
Storm,STORM,storm,mutant,false,true,true,true,true
Superior Iron Man,SUPERIORIRONMAN,superiorironman,cosmic,false,true,true,true,true
Thanos,THANOS,thanos,cosmic,false,false,false,true,false
Thor (Jane Foster),THORJANEFOSTER,thorjanefoster,mystic,false,true,true,true,true
Thor,THOR,thor,cosmic,false,true,true,true,false
Ultron (Classic),ULTRONCLASSIC,ultronclassic,tech,false,false,false,false,true
Ultron (Theatrical),ULTRON,ultron,tech,false,true,true,true,true
Unstoppable Colossus,UNSTOPPABLECOLOSSUS,unstoppablecolossus,mystic,false,true,true,true,true
Venom,VENOM,venom,cosmic,false,true,true,true,true
Venompool,VENOMPOOL,venompool,cosmic,false,true,true,true,true
Vision (Classic),VISION,vision,tech,true,true,true,true,false
Vision (Theatrical),THEVISION,thevision,tech,true,true,true,true,false
War Machine,WARMACHINE,warmachine,tech,false,true,true,true,false
Winter Soldier,WINTERSOLDIER,wintersoldier,skill,false,true,true,true,true
Wolverine,WOLVERINE,wolverine,mutant,true,true,true,true,false
X-23,X23,x23,mutant,false,true,true,true,true
Yellowjacket,YELLOWJACKET,yellowjacket,science,false,true,true,true,true
Yondu,YONDU,yondu,tech,false,false,true,true,true